Date (MST),Parameter ,Value (m)
2021-05-01 0:00,46,7.366
2021-05-01 0:05,46,7.445
2021-05-01 0:10,46,7.363
2021-05-01 0:15,46,7.439
2021-05-01 0:20,46,7.35
2021-05-01 0:25,46,7.44
2021-05-01 0:30,46,7.366
2021-05-01 0:35,46,7.425
2021-05-01 0:40,46,7.336
2021-05-01 0:45,46,7.417
2021-05-01 0:50,46,7.351
2021-05-01 0:55,46,7.445
2021-05-01 1:00,46,7.375
2021-05-01 1:05,46,7.445
2021-05-01 1:10,46,7.356
2021-05-01 1:15,46,7.444
2021-05-01 1:20,46,7.364
2021-05-01 1:25,46,7.42
2021-05-01 1:30,46,7.376
2021-05-01 1:35,46,7.453
2021-05-01 1:40,46,7.361
2021-05-01 1:45,46,7.432
2021-05-01 1:50,46,7.347
2021-05-01 1:55,46,7.434
2021-05-01 2:00,46,7.363
2021-05-01 2:05,46,7.446
2021-05-01 2:10,46,7.353
2021-05-01 2:15,46,7.432
2021-05-01 2:20,46,7.373
2021-05-01 2:25,46,7.445
2021-05-01 2:30,46,7.381
2021-05-01 2:35,46,7.417
2021-05-01 2:40,46,7.373
2021-05-01 2:45,46,7.427
2021-05-01 2:50,46,7.371
2021-05-01 2:55,46,7.439
2021-05-01 3:00,46,7.37
2021-05-01 3:05,46,7.415
2021-05-01 3:10,46,7.341
2021-05-01 3:15,46,7.448
2021-05-01 3:20,46,7.364
2021-05-01 3:25,46,7.428
2021-05-01 3:30,46,7.363
2021-05-01 3:35,46,7.428
2021-05-01 3:40,46,7.346
2021-05-01 3:45,46,7.439
2021-05-01 3:50,46,7.368
2021-05-01 3:55,46,7.46
2021-05-01 4:00,46,7.38
2021-05-01 4:05,46,7.459
2021-05-01 4:10,46,7.378
2021-05-01 4:15,46,7.439
2021-05-01 4:20,46,7.349
2021-05-01 4:25,46,7.422
2021-05-01 4:30,46,7.34
2021-05-01 4:35,46,7.451
2021-05-01 4:40,46,7.361
2021-05-01 4:45,46,7.421
2021-05-01 4:50,46,7.38
2021-05-01 4:55,46,7.434
2021-05-01 5:00,46,7.389
2021-05-01 5:05,46,7.433
2021-05-01 5:10,46,7.363
2021-05-01 5:15,46,7.42
2021-05-01 5:20,46,7.345
2021-05-01 5:25,46,7.417
2021-05-01 5:30,46,7.338
2021-05-01 5:35,46,7.391
2021-05-01 5:40,46,7.364
2021-05-01 5:45,46,7.445
2021-05-01 5:50,46,7.356
2021-05-01 5:55,46,7.439
2021-05-01 6:00,46,7.355
2021-05-01 6:05,46,7.417
2021-05-01 6:10,46,7.368
2021-05-01 6:15,46,7.45
2021-05-01 6:20,46,7.373
2021-05-01 6:25,46,7.44
2021-05-01 6:30,46,7.343
2021-05-01 6:35,46,7.424
2021-05-01 6:40,46,7.379
2021-05-01 6:45,46,7.427
2021-05-01 6:50,46,7.367
2021-05-01 6:55,46,7.442
2021-05-01 7:00,46,7.367
2021-05-01 7:05,46,7.449
2021-05-01 7:10,46,7.379
2021-05-01 7:15,46,7.428
2021-05-01 7:20,46,7.344
2021-05-01 7:25,46,7.414
2021-05-01 7:30,46,7.358
2021-05-01 7:35,46,7.444
2021-05-01 7:40,46,7.351
2021-05-01 7:45,46,7.423
2021-05-01 7:50,46,7.373
2021-05-01 7:55,46,7.422
2021-05-01 8:00,46,7.369
2021-05-01 8:05,46,7.439
2021-05-01 8:10,46,7.363
2021-05-01 8:15,46,7.398
2021-05-01 8:20,46,7.38
2021-05-01 8:25,46,7.417
2021-05-01 8:30,46,7.378
2021-05-01 8:35,46,7.427
2021-05-01 8:40,46,7.366
2021-05-01 8:45,46,7.43
2021-05-01 8:50,46,7.343
2021-05-01 8:55,46,7.434
2021-05-01 9:00,46,7.363
2021-05-01 9:05,46,7.424
2021-05-01 9:10,46,7.338
2021-05-01 9:15,46,7.446
2021-05-01 9:20,46,7.364
2021-05-01 9:25,46,7.422
2021-05-01 9:30,46,7.374
2021-05-01 9:35,46,7.437
2021-05-01 9:40,46,7.369
2021-05-01 9:45,46,7.444
2021-05-01 9:50,46,7.356
2021-05-01 9:55,46,7.433
2021-05-01 10:00,46,7.368
2021-05-01 10:05,46,7.434
2021-05-01 10:10,46,7.378
2021-05-01 10:15,46,7.442
2021-05-01 10:20,46,7.364
2021-05-01 10:25,46,7.425
2021-05-01 10:30,46,7.37
2021-05-01 10:35,46,7.433
2021-05-01 10:40,46,7.363
2021-05-01 10:45,46,7.45
2021-05-01 10:50,46,7.366
2021-05-01 10:55,46,7.435
2021-05-01 11:00,46,7.381
2021-05-01 11:05,46,7.446
2021-05-01 11:10,46,7.377
2021-05-01 11:15,46,7.433
2021-05-01 11:20,46,7.373
2021-05-01 11:25,46,7.434
2021-05-01 11:30,46,7.366
2021-05-01 11:35,46,7.437
2021-05-01 11:40,46,7.352
2021-05-01 11:45,46,7.451
2021-05-01 11:50,46,7.364
2021-05-01 11:55,46,7.426
2021-05-01 12:00,46,7.374
2021-05-01 12:05,46,7.437
2021-05-01 12:10,46,7.361
2021-05-01 12:15,46,7.425
2021-05-01 12:20,46,7.36
2021-05-01 12:25,46,7.434
2021-05-01 12:30,46,7.359
2021-05-01 12:35,46,7.439
2021-05-01 12:40,46,7.36
2021-05-01 12:45,46,7.446
2021-05-01 12:50,46,7.383
2021-05-01 12:55,46,7.423
2021-05-01 13:00,46,7.357
2021-05-01 13:05,46,7.425
2021-05-01 13:10,46,7.37
2021-05-01 13:15,46,7.452
2021-05-01 13:20,46,7.358
2021-05-01 13:25,46,7.447
2021-05-01 13:30,46,7.382
2021-05-01 13:35,46,7.452
2021-05-01 13:40,46,7.361
2021-05-01 13:45,46,7.437
2021-05-01 13:50,46,7.371
2021-05-01 13:55,46,7.451
2021-05-01 14:00,46,7.374
2021-05-01 14:05,46,7.45
2021-05-01 14:10,46,7.37
2021-05-01 14:15,46,7.431
2021-05-01 14:20,46,7.352
2021-05-01 14:25,46,7.449
2021-05-01 14:30,46,7.355
2021-05-01 14:35,46,7.413
2021-05-01 14:40,46,7.357
2021-05-01 14:45,46,7.451
2021-05-01 14:50,46,7.353
2021-05-01 14:55,46,7.458
2021-05-01 15:00,46,7.396
2021-05-01 15:05,46,7.44
2021-05-01 15:10,46,7.35
2021-05-01 15:15,46,7.448
2021-05-01 15:20,46,7.386
2021-05-01 15:25,46,7.451
2021-05-01 15:30,46,7.388
2021-05-01 15:35,46,7.429
2021-05-01 15:40,46,7.379
2021-05-01 15:45,46,7.456
2021-05-01 15:50,46,7.368
2021-05-01 15:55,46,7.451
2021-05-01 16:00,46,7.369
2021-05-01 16:05,46,7.455
2021-05-01 16:10,46,7.372
2021-05-01 16:15,46,7.446
2021-05-01 16:20,46,7.377
2021-05-01 16:25,46,7.48
2021-05-01 16:30,46,7.382
2021-05-01 16:35,46,7.42
2021-05-01 16:40,46,7.361
2021-05-01 16:45,46,7.446
2021-05-01 16:50,46,7.382
2021-05-01 16:55,46,7.426
2021-05-01 17:00,46,7.378
2021-05-01 17:05,46,7.462
2021-05-01 17:10,46,7.375
2021-05-01 17:15,46,7.447
2021-05-01 17:20,46,7.359
2021-05-01 17:25,46,7.435
2021-05-01 17:30,46,7.353
2021-05-01 17:35,46,7.428
2021-05-01 17:40,46,7.381
2021-05-01 17:45,46,7.445
2021-05-01 17:50,46,7.346
2021-05-01 17:55,46,7.445
2021-05-01 18:00,46,7.384
2021-05-01 18:05,46,7.445
2021-05-01 18:10,46,7.389
2021-05-01 18:15,46,7.451
2021-05-01 18:20,46,7.381
2021-05-01 18:25,46,7.442
2021-05-01 18:30,46,7.371
2021-05-01 18:35,46,7.436
2021-05-01 18:40,46,7.386
2021-05-01 18:45,46,7.444
2021-05-01 18:50,46,7.37
2021-05-01 18:55,46,7.454
2021-05-01 19:00,46,7.376
2021-05-01 19:05,46,7.441
2021-05-01 19:10,46,7.355
2021-05-01 19:15,46,7.425
2021-05-01 19:20,46,7.387
2021-05-01 19:25,46,7.456
2021-05-01 19:30,46,7.357
2021-05-01 19:35,46,7.452
2021-05-01 19:40,46,7.38
2021-05-01 19:45,46,7.471
2021-05-01 19:50,46,7.352
2021-05-01 19:55,46,7.415
2021-05-01 20:00,46,7.408
2021-05-01 20:05,46,7.447
2021-05-01 20:10,46,7.385
2021-05-01 20:15,46,7.433
2021-05-01 20:20,46,7.375
2021-05-01 20:25,46,7.44
2021-05-01 20:30,46,7.393
2021-05-01 20:35,46,7.465
2021-05-01 20:40,46,7.388
2021-05-01 20:45,46,7.464
2021-05-01 20:50,46,7.371
2021-05-01 20:55,46,7.462
2021-05-01 21:00,46,7.362
2021-05-01 21:05,46,7.435
2021-05-01 21:10,46,7.392
2021-05-01 21:15,46,7.444
2021-05-01 21:20,46,7.416
2021-05-01 21:25,46,7.465
2021-05-01 21:30,46,7.394
2021-05-01 21:35,46,7.428
2021-05-01 21:40,46,7.363
2021-05-01 21:45,46,7.438
2021-05-01 21:50,46,7.376
2021-05-01 21:55,46,7.451
2021-05-01 22:00,46,7.369
2021-05-01 22:05,46,7.434
2021-05-01 22:10,46,7.371
2021-05-01 22:15,46,7.45
2021-05-01 22:20,46,7.382
2021-05-01 22:25,46,7.427
2021-05-01 22:30,46,7.378
2021-05-01 22:35,46,7.444
2021-05-01 22:40,46,7.41
2021-05-01 22:45,46,7.476
2021-05-01 22:50,46,7.384
2021-05-01 22:55,46,7.449
2021-05-01 23:00,46,7.358
2021-05-01 23:05,46,7.475
2021-05-01 23:10,46,7.394
2021-05-01 23:15,46,7.461
2021-05-01 23:20,46,7.369
2021-05-01 23:25,46,7.445
2021-05-01 23:30,46,7.379
2021-05-01 23:35,46,7.455
2021-05-01 23:40,46,7.386
2021-05-01 23:45,46,7.474
2021-05-01 23:50,46,7.415
2021-05-01 23:55,46,7.431
2021-05-02 0:00,46,7.381
2021-05-02 0:05,46,7.445
2021-05-02 0:10,46,7.401
2021-05-02 0:15,46,7.438
2021-05-02 0:20,46,7.367
2021-05-02 0:25,46,7.449
2021-05-02 0:30,46,7.373
2021-05-02 0:35,46,7.454
2021-05-02 0:40,46,7.41
2021-05-02 0:45,46,7.431
2021-05-02 0:50,46,7.35
2021-05-02 0:55,46,7.463
2021-05-02 1:00,46,7.381
2021-05-02 1:05,46,7.451
2021-05-02 1:10,46,7.371
2021-05-02 1:15,46,7.463
2021-05-02 1:20,46,7.394
2021-05-02 1:25,46,7.428
2021-05-02 1:30,46,7.367
2021-05-02 1:35,46,7.475
2021-05-02 1:40,46,7.404
2021-05-02 1:45,46,7.482
2021-05-02 1:50,46,7.402
2021-05-02 1:55,46,7.459
2021-05-02 2:00,46,7.397
2021-05-02 2:05,46,7.44
2021-05-02 2:10,46,7.39
2021-05-02 2:15,46,7.447
2021-05-02 2:20,46,7.381
2021-05-02 2:25,46,7.444
2021-05-02 2:30,46,7.41
2021-05-02 2:35,46,7.436
2021-05-02 2:40,46,7.394
2021-05-02 2:45,46,7.472
2021-05-02 2:50,46,7.378
2021-05-02 2:55,46,7.465
2021-05-02 3:00,46,7.391
2021-05-02 3:05,46,7.463
2021-05-02 3:10,46,7.378
2021-05-02 3:15,46,7.437
2021-05-02 3:20,46,7.387
2021-05-02 3:25,46,7.445
2021-05-02 3:30,46,7.395
2021-05-02 3:35,46,7.485
2021-05-02 3:40,46,7.386
2021-05-02 3:45,46,7.475
2021-05-02 3:50,46,7.376
2021-05-02 3:55,46,7.45
2021-05-02 4:00,46,7.37
2021-05-02 4:05,46,7.455
2021-05-02 4:10,46,7.389
2021-05-02 4:15,46,7.445
2021-05-02 4:20,46,7.392
2021-05-02 4:25,46,7.446
2021-05-02 4:30,46,7.389
2021-05-02 4:35,46,7.468
2021-05-02 4:40,46,7.391
2021-05-02 4:45,46,7.459
2021-05-02 4:50,46,7.383
2021-05-02 4:55,46,7.47
2021-05-02 5:00,46,7.399
2021-05-02 5:05,46,7.442
2021-05-02 5:10,46,7.4
2021-05-02 5:15,46,7.454
2021-05-02 5:20,46,7.404
2021-05-02 5:25,46,7.47
2021-05-02 5:30,46,7.398
2021-05-02 5:35,46,7.471
2021-05-02 5:40,46,7.399
2021-05-02 5:45,46,7.453
2021-05-02 5:50,46,7.387
2021-05-02 5:55,46,7.458
2021-05-02 6:00,46,7.381
2021-05-02 6:05,46,7.447
2021-05-02 6:10,46,7.4
2021-05-02 6:15,46,7.464
2021-05-02 6:20,46,7.391
2021-05-02 6:25,46,7.445
2021-05-02 6:30,46,7.385
2021-05-02 6:35,46,7.455
2021-05-02 6:40,46,7.389
2021-05-02 6:45,46,7.434
2021-05-02 6:50,46,7.405
2021-05-02 6:55,46,7.472
2021-05-02 7:00,46,7.36
2021-05-02 7:05,46,7.452
2021-05-02 7:10,46,7.397
2021-05-02 7:15,46,7.449
2021-05-02 7:20,46,7.405
2021-05-02 7:25,46,7.452
2021-05-02 7:30,46,7.396
2021-05-02 7:35,46,7.472
2021-05-02 7:40,46,7.39
2021-05-02 7:45,46,7.472
2021-05-02 7:50,46,7.393
2021-05-02 7:55,46,7.453
2021-05-02 8:00,46,7.413
2021-05-02 8:05,46,7.457
2021-05-02 8:10,46,7.411
2021-05-02 8:15,46,7.446
2021-05-02 8:20,46,7.391
2021-05-02 8:25,46,7.483
2021-05-02 8:30,46,7.44
2021-05-02 8:35,46,7.453
2021-05-02 8:40,46,7.391
2021-05-02 8:45,46,7.495
2021-05-02 8:50,46,7.416
2021-05-02 8:55,46,7.462
2021-05-02 9:00,46,7.401
2021-05-02 9:05,46,7.469
2021-05-02 9:10,46,7.419
2021-05-02 9:15,46,7.46
2021-05-02 9:20,46,7.399
2021-05-02 9:25,46,7.458
2021-05-02 9:30,46,7.4
2021-05-02 9:35,46,7.482
2021-05-02 9:40,46,7.395
2021-05-02 9:45,46,7.481
2021-05-02 9:50,46,7.399
2021-05-02 9:55,46,7.486
2021-05-02 10:00,46,7.379
2021-05-02 10:05,46,7.456
2021-05-02 10:10,46,7.389
2021-05-02 10:15,46,7.474
2021-05-02 10:20,46,7.407
2021-05-02 10:25,46,7.458
2021-05-02 10:30,46,7.391
2021-05-02 10:35,46,7.443
2021-05-02 10:40,46,7.418
2021-05-02 10:45,46,7.47
2021-05-02 10:50,46,7.406
2021-05-02 10:55,46,7.482
2021-05-02 11:00,46,7.401
2021-05-02 11:05,46,7.473
2021-05-02 11:10,46,7.406
2021-05-02 11:15,46,7.477
2021-05-02 11:20,46,7.4
2021-05-02 11:25,46,7.468
2021-05-02 11:30,46,7.392
2021-05-02 11:35,46,7.468
2021-05-02 11:40,46,7.399
2021-05-02 11:45,46,7.478
2021-05-02 11:50,46,7.406
2021-05-02 11:55,46,7.481
2021-05-02 12:00,46,7.396
2021-05-02 12:05,46,7.472
2021-05-02 12:10,46,7.404
2021-05-02 12:15,46,7.466
2021-05-02 12:20,46,7.385
2021-05-02 12:25,46,7.465
2021-05-02 12:30,46,7.381
2021-05-02 12:35,46,7.462
2021-05-02 12:40,46,7.405
2021-05-02 12:45,46,7.494
2021-05-02 12:50,46,7.415
2021-05-02 12:55,46,7.465
2021-05-02 13:00,46,7.386
2021-05-02 13:05,46,7.478
2021-05-02 13:10,46,7.392
2021-05-02 13:15,46,7.482
2021-05-02 13:20,46,7.411
2021-05-02 13:25,46,7.464
2021-05-02 13:30,46,7.401
2021-05-02 13:35,46,7.476
2021-05-02 13:40,46,7.408
2021-05-02 13:45,46,7.472
2021-05-02 13:50,46,7.38
2021-05-02 13:55,46,7.477
2021-05-02 14:00,46,7.408
2021-05-02 14:05,46,7.478
2021-05-02 14:10,46,7.407
2021-05-02 14:15,46,7.48
2021-05-02 14:20,46,7.408
2021-05-02 14:25,46,7.481
2021-05-02 14:30,46,7.42
2021-05-02 14:35,46,7.468
2021-05-02 14:40,46,7.397
2021-05-02 14:45,46,7.474
2021-05-02 14:50,46,7.401
2021-05-02 14:55,46,7.479
2021-05-02 15:00,46,7.416
2021-05-02 15:05,46,7.485
2021-05-02 15:10,46,7.4
2021-05-02 15:15,46,7.488
2021-05-02 15:20,46,7.4
2021-05-02 15:25,46,7.472
2021-05-02 15:30,46,7.408
2021-05-02 15:35,46,7.471
2021-05-02 15:40,46,7.409
2021-05-02 15:45,46,7.482
2021-05-02 15:50,46,7.434
2021-05-02 15:55,46,7.478
2021-05-02 16:00,46,7.413
2021-05-02 16:05,46,7.483
2021-05-02 16:10,46,7.418
2021-05-02 16:15,46,7.456
2021-05-02 16:20,46,7.403
2021-05-02 16:25,46,7.488
2021-05-02 16:30,46,7.4
2021-05-02 16:35,46,7.476
2021-05-02 16:40,46,7.412
2021-05-02 16:45,46,7.477
2021-05-02 16:50,46,7.412
2021-05-02 16:55,46,7.474
2021-05-02 17:00,46,7.404
2021-05-02 17:05,46,7.485
2021-05-02 17:10,46,7.388
2021-05-02 17:15,46,7.457
2021-05-02 17:20,46,7.394
2021-05-02 17:25,46,7.479
2021-05-02 17:30,46,7.388
2021-05-02 17:35,46,7.489
2021-05-02 17:40,46,7.402
2021-05-02 17:45,46,7.463
2021-05-02 17:50,46,7.399
2021-05-02 17:55,46,7.475
2021-05-02 18:00,46,7.408
2021-05-02 18:05,46,7.468
