Date (PST),Parameter ,Value (m)
2021-05-01 0:00,46,29.25
2021-05-01 0:05,46,29.249
2021-05-01 0:10,46,29.251
2021-05-01 0:15,46,29.25
2021-05-01 0:20,46,29.247
2021-05-01 0:25,46,29.25
2021-05-01 0:30,46,29.248
2021-05-01 0:35,46,29.247
2021-05-01 0:40,46,29.245
2021-05-01 0:45,46,29.247
2021-05-01 0:50,46,29.245
2021-05-01 0:55,46,29.242
2021-05-01 1:00,46,29.241
2021-05-01 1:05,46,29.242
2021-05-01 1:10,46,29.243
2021-05-01 1:15,46,29.243
2021-05-01 1:20,46,29.245
2021-05-01 1:25,46,29.245
2021-05-01 1:30,46,29.248
2021-05-01 1:35,46,29.247
2021-05-01 1:40,46,29.248
2021-05-01 1:45,46,29.244
2021-05-01 1:50,46,29.254
2021-05-01 1:55,46,29.254
2021-05-01 2:00,46,29.256
2021-05-01 2:05,46,29.245
2021-05-01 2:10,46,29.257
2021-05-01 2:15,46,29.259
2021-05-01 2:20,46,29.261
2021-05-01 2:25,46,29.26
2021-05-01 2:30,46,29.26
2021-05-01 2:35,46,29.261
2021-05-01 2:40,46,29.261
2021-05-01 2:45,46,29.262
2021-05-01 2:50,46,29.259
2021-05-01 2:55,46,29.259
2021-05-01 3:00,46,29.26
2021-05-01 3:05,46,29.261
2021-05-01 3:10,46,29.259
2021-05-01 3:15,46,29.26
2021-05-01 3:20,46,29.262
2021-05-01 3:25,46,29.261
2021-05-01 3:30,46,29.248
2021-05-01 3:35,46,29.263
2021-05-01 3:40,46,29.261
2021-05-01 3:45,46,29.26
2021-05-01 3:50,46,29.26
2021-05-01 3:55,46,29.261
2021-05-01 4:00,46,29.262
2021-05-01 4:05,46,29.26
2021-05-01 4:10,46,29.263
2021-05-01 4:15,46,29.261
2021-05-01 4:20,46,29.261
2021-05-01 4:25,46,29.261
2021-05-01 4:30,46,29.259
2021-05-01 4:35,46,29.262
2021-05-01 4:40,46,29.262
2021-05-01 4:45,46,29.261
2021-05-01 4:50,46,29.263
2021-05-01 4:55,46,29.263
2021-05-01 5:00,46,29.263
2021-05-01 5:05,46,29.264
2021-05-01 5:10,46,29.265
2021-05-01 5:15,46,29.262
2021-05-01 5:20,46,29.259
2021-05-01 5:25,46,29.261
2021-05-01 5:30,46,29.263
2021-05-01 5:35,46,29.263
2021-05-01 5:40,46,29.265
2021-05-01 5:45,46,29.265
2021-05-01 5:50,46,29.268
2021-05-01 5:55,46,29.265
2021-05-01 6:00,46,29.266
2021-05-01 6:05,46,29.268
2021-05-01 6:10,46,29.269
2021-05-01 6:15,46,29.257
