Date (AST),Parameter ,Value (m)
2021-05-01 0:00,46,2.624
2021-05-01 0:05,46,2.624
2021-05-01 0:10,46,2.627
2021-05-01 0:15,46,2.627
2021-05-01 0:20,46,2.625
2021-05-01 0:25,46,2.626
2021-05-01 0:30,46,2.627
2021-05-01 0:35,46,2.628
2021-05-01 0:40,46,2.626
2021-05-01 0:45,46,2.625
2021-05-01 0:50,46,2.626
2021-05-01 0:55,46,2.629
2021-05-01 1:00,46,2.628
2021-05-01 1:05,46,2.629
2021-05-01 1:10,46,2.629
2021-05-01 1:15,46,2.625
2021-05-01 1:20,46,2.627
2021-05-01 1:25,46,2.626
2021-05-01 1:30,46,2.628
2021-05-01 1:35,46,2.628
2021-05-01 1:40,46,2.631
2021-05-01 1:45,46,2.627
2021-05-01 1:50,46,2.628
2021-05-01 1:55,46,2.631
2021-05-01 2:00,46,2.631
2021-05-01 2:05,46,2.634
2021-05-01 2:10,46,2.636
2021-05-01 2:15,46,2.637
2021-05-01 2:20,46,2.637
2021-05-01 2:25,46,2.634
2021-05-01 2:30,46,2.635
2021-05-01 2:35,46,2.634
2021-05-01 2:40,46,2.634
2021-05-01 2:45,46,2.638
2021-05-01 2:50,46,2.637
2021-05-01 2:55,46,2.635
2021-05-01 3:00,46,2.639
2021-05-01 3:05,46,2.636
2021-05-01 3:10,46,2.637
2021-05-01 3:15,46,2.638
2021-05-01 3:20,46,2.636
2021-05-01 3:25,46,2.634
2021-05-01 3:30,46,2.634
2021-05-01 3:35,46,2.636
2021-05-01 3:40,46,2.636
2021-05-01 3:45,46,2.636
2021-05-01 3:50,46,2.637
2021-05-01 3:55,46,2.635
2021-05-01 4:00,46,2.638
2021-05-01 4:05,46,2.642
2021-05-01 4:10,46,2.641
2021-05-01 4:15,46,2.64
2021-05-01 4:20,46,2.642
2021-05-01 4:25,46,2.642
2021-05-01 4:30,46,2.641
2021-05-01 4:35,46,2.642
2021-05-01 4:40,46,2.643
2021-05-01 4:45,46,2.642
2021-05-01 4:50,46,2.64
2021-05-01 4:55,46,2.642
2021-05-01 5:00,46,2.641
2021-05-01 5:05,46,2.641
2021-05-01 5:10,46,2.643
2021-05-01 5:15,46,2.644
2021-05-01 5:20,46,2.643
2021-05-01 5:25,46,2.643
2021-05-01 5:30,46,2.644
2021-05-01 5:35,46,2.643
2021-05-01 5:40,46,2.644
2021-05-01 5:45,46,2.642
2021-05-01 5:50,46,2.641
2021-05-01 5:55,46,2.644
2021-05-01 6:00,46,2.641
2021-05-01 6:05,46,2.642
2021-05-01 6:10,46,2.642
2021-05-01 6:15,46,2.643
2021-05-01 6:20,46,2.643
2021-05-01 6:25,46,2.642
2021-05-01 6:30,46,2.644
2021-05-01 6:35,46,2.643
2021-05-01 6:40,46,2.645
2021-05-01 6:45,46,2.646
2021-05-01 6:50,46,2.649
2021-05-01 6:55,46,2.647
2021-05-01 7:00,46,2.648
2021-05-01 7:05,46,2.649
2021-05-01 7:10,46,2.649
2021-05-01 7:15,46,2.652
2021-05-01 7:20,46,2.655
2021-05-01 7:25,46,2.65
2021-05-01 7:30,46,2.658
2021-05-01 7:35,46,2.666
2021-05-01 7:40,46,2.663
2021-05-01 7:45,46,2.662
2021-05-01 7:50,46,2.658
2021-05-01 7:55,46,2.657
2021-05-01 8:00,46,2.665
2021-05-01 8:05,46,2.664
2021-05-01 8:10,46,2.669
2021-05-01 8:15,46,2.671
2021-05-01 8:20,46,2.667
2021-05-01 8:25,46,2.664
2021-05-01 8:30,46,2.67
2021-05-01 8:35,46,2.667
2021-05-01 8:40,46,2.667
2021-05-01 8:45,46,2.666
2021-05-01 8:50,46,2.672
2021-05-01 8:55,46,2.67
2021-05-01 9:00,46,2.674
2021-05-01 9:05,46,2.673
2021-05-01 9:10,46,2.672
2021-05-01 9:15,46,2.669
2021-05-01 9:20,46,2.671
2021-05-01 9:25,46,2.674
2021-05-01 9:30,46,2.674
2021-05-01 9:35,46,2.674
2021-05-01 9:40,46,2.681
2021-05-01 9:45,46,2.678
2021-05-01 9:50,46,2.676
2021-05-01 9:55,46,2.676
2021-05-01 10:00,46,2.676
2021-05-01 10:05,46,2.676
2021-05-01 10:10,46,2.677
2021-05-01 10:15,46,2.686
2021-05-01 10:20,46,2.68
2021-05-01 10:25,46,2.682
2021-05-01 10:30,46,2.682
2021-05-01 10:35,46,2.683
2021-05-01 10:40,46,2.687
2021-05-01 10:45,46,2.69
2021-05-01 10:50,46,2.69
2021-05-01 10:55,46,2.687
2021-05-01 11:00,46,2.69
2021-05-01 11:05,46,2.685
2021-05-01 11:10,46,2.69
2021-05-01 11:15,46,2.689
2021-05-01 11:20,46,2.684
2021-05-01 11:25,46,2.685
2021-05-01 11:30,46,2.69
2021-05-01 11:35,46,2.688
2021-05-01 11:40,46,2.695
2021-05-01 11:45,46,2.696
2021-05-01 11:50,46,2.689
2021-05-01 11:55,46,2.694
2021-05-01 12:00,46,2.697
2021-05-01 12:05,46,2.693
2021-05-01 12:10,46,2.693
2021-05-01 12:15,46,2.69
2021-05-01 12:20,46,2.695
2021-05-01 12:25,46,2.697
2021-05-01 12:30,46,2.7
2021-05-01 12:35,46,2.704
2021-05-01 12:40,46,2.702
2021-05-01 12:45,46,2.701
2021-05-01 12:50,46,2.696
2021-05-01 12:55,46,2.699
2021-05-01 13:00,46,2.696
2021-05-01 13:05,46,2.697
2021-05-01 13:10,46,2.7
2021-05-01 13:15,46,2.697
2021-05-01 13:20,46,2.698
2021-05-01 13:25,46,2.7
2021-05-01 13:30,46,2.703
2021-05-01 13:35,46,2.7
2021-05-01 13:40,46,2.703
2021-05-01 13:45,46,2.706
2021-05-01 13:50,46,2.707
2021-05-01 13:55,46,2.705
2021-05-01 14:00,46,2.695
2021-05-01 14:05,46,2.707
2021-05-01 14:10,46,2.697
2021-05-01 14:15,46,2.697
2021-05-01 14:20,46,2.699
2021-05-01 14:25,46,2.703
2021-05-01 14:30,46,2.702
2021-05-01 14:35,46,2.705
2021-05-01 14:40,46,2.703
2021-05-01 14:45,46,2.698
2021-05-01 14:50,46,2.7
2021-05-01 14:55,46,2.712
2021-05-01 15:00,46,2.705
2021-05-01 15:05,46,2.706
2021-05-01 15:10,46,2.701
2021-05-01 15:15,46,2.7
2021-05-01 15:20,46,2.699
2021-05-01 15:25,46,2.7
2021-05-01 15:30,46,2.701
2021-05-01 15:35,46,2.709
2021-05-01 15:40,46,2.708
2021-05-01 15:45,46,2.701
2021-05-01 15:50,46,2.701
2021-05-01 15:55,46,2.707
2021-05-01 16:00,46,2.705
2021-05-01 16:05,46,2.698
2021-05-01 16:10,46,2.705
2021-05-01 16:15,46,2.705
2021-05-01 16:20,46,2.706
2021-05-01 16:25,46,2.703
2021-05-01 16:30,46,2.704
2021-05-01 16:35,46,2.704
2021-05-01 16:40,46,2.705
2021-05-01 16:45,46,2.707
2021-05-01 16:50,46,2.71
2021-05-01 16:55,46,2.709
2021-05-01 17:00,46,2.714
2021-05-01 17:05,46,2.716
2021-05-01 17:10,46,2.714
2021-05-01 17:15,46,2.703
2021-05-01 17:20,46,2.704
2021-05-01 17:25,46,2.707
2021-05-01 17:30,46,2.706
2021-05-01 17:35,46,2.701
2021-05-01 17:40,46,2.706
2021-05-01 17:45,46,2.706
2021-05-01 17:50,46,2.711
2021-05-01 17:55,46,2.706
2021-05-01 18:00,46,2.706
2021-05-01 18:05,46,2.705
2021-05-01 18:10,46,2.702
2021-05-01 18:15,46,2.705
2021-05-01 18:20,46,2.705
2021-05-01 18:25,46,2.708
2021-05-01 18:30,46,2.709
2021-05-01 18:35,46,2.71
2021-05-01 18:40,46,2.708
2021-05-01 18:45,46,2.707
2021-05-01 18:50,46,2.707
2021-05-01 18:55,46,2.706
2021-05-01 19:00,46,2.705
2021-05-01 19:05,46,2.708
2021-05-01 19:10,46,2.71
2021-05-01 19:15,46,2.712
2021-05-01 19:20,46,2.716
2021-05-01 19:25,46,2.722
2021-05-01 19:30,46,2.719
2021-05-01 19:35,46,2.716
2021-05-01 19:40,46,2.716
2021-05-01 19:45,46,2.715
2021-05-01 19:50,46,2.713
2021-05-01 19:55,46,2.713
2021-05-01 20:00,46,2.715
2021-05-01 20:05,46,2.716
2021-05-01 20:10,46,2.717
2021-05-01 20:15,46,2.718
2021-05-01 20:20,46,2.72
2021-05-01 20:25,46,2.721
2021-05-01 20:30,46,2.72
2021-05-01 20:35,46,2.721
2021-05-01 20:40,46,2.719
2021-05-01 20:45,46,2.719
2021-05-01 20:50,46,2.718
2021-05-01 20:55,46,2.718
2021-05-01 21:00,46,2.718
2021-05-01 21:05,46,2.718
2021-05-01 21:10,46,2.717
2021-05-01 21:15,46,2.717
2021-05-01 21:20,46,2.72
2021-05-01 21:25,46,2.723
2021-05-01 21:30,46,2.726
2021-05-01 21:35,46,2.729
2021-05-01 21:40,46,2.728
2021-05-01 21:45,46,2.728
2021-05-01 21:50,46,2.727
2021-05-01 21:55,46,2.726
2021-05-01 22:00,46,2.722
2021-05-01 22:05,46,2.723
2021-05-01 22:10,46,2.726
2021-05-01 22:15,46,2.725
2021-05-01 22:20,46,2.727
2021-05-01 22:25,46,2.728
2021-05-01 22:30,46,2.727
2021-05-01 22:35,46,2.728
2021-05-01 22:40,46,2.729
2021-05-01 22:45,46,2.73
2021-05-01 22:50,46,2.731
2021-05-01 22:55,46,2.73
2021-05-01 23:00,46,2.73
2021-05-01 23:05,46,2.73
2021-05-01 23:10,46,2.732
2021-05-01 23:15,46,2.732
2021-05-01 23:20,46,2.731
2021-05-01 23:25,46,2.733
2021-05-01 23:30,46,2.733
2021-05-01 23:35,46,2.733
2021-05-01 23:40,46,2.732
2021-05-01 23:45,46,2.733
2021-05-01 23:50,46,2.73
2021-05-01 23:55,46,2.731
2021-05-02 0:00,46,2.732
2021-05-02 0:05,46,2.731
2021-05-02 0:10,46,2.732
2021-05-02 0:15,46,2.732
2021-05-02 0:20,46,2.734
2021-05-02 0:25,46,2.731
2021-05-02 0:30,46,2.733
2021-05-02 0:35,46,2.734
2021-05-02 0:40,46,2.736
2021-05-02 0:45,46,2.735
2021-05-02 0:50,46,2.737
2021-05-02 0:55,46,2.736
2021-05-02 1:00,46,2.734
2021-05-02 1:05,46,2.736
2021-05-02 1:10,46,2.736
2021-05-02 1:15,46,2.736
2021-05-02 1:20,46,2.734
2021-05-02 1:25,46,2.735
2021-05-02 1:30,46,2.734
2021-05-02 1:35,46,2.735
2021-05-02 1:40,46,2.735
2021-05-02 1:45,46,2.736
2021-05-02 1:50,46,2.735
2021-05-02 1:55,46,2.734
2021-05-02 2:00,46,2.734
2021-05-02 2:05,46,2.734
2021-05-02 2:10,46,2.734
2021-05-02 2:15,46,2.733
2021-05-02 2:20,46,2.734
2021-05-02 2:25,46,2.735
2021-05-02 2:30,46,2.734
2021-05-02 2:35,46,2.735
2021-05-02 2:40,46,2.736
2021-05-02 2:45,46,2.736
2021-05-02 2:50,46,2.734
2021-05-02 2:55,46,2.735
2021-05-02 3:00,46,2.734
2021-05-02 3:05,46,2.734
2021-05-02 3:10,46,2.734
2021-05-02 3:15,46,2.735
2021-05-02 3:20,46,2.733
2021-05-02 3:25,46,2.733
2021-05-02 3:30,46,2.731
2021-05-02 3:35,46,2.732
2021-05-02 3:40,46,2.731
2021-05-02 3:45,46,2.731
2021-05-02 3:50,46,2.73
