Date (NST),Parameter ,Value (m)
2021-05-01 0:00,46,85.848
2021-05-01 0:15,46,85.879
2021-05-01 0:30,46,85.815
2021-05-01 0:45,46,85.867
2021-05-01 1:00,46,85.838
2021-05-01 1:15,46,85.841
2021-05-01 1:30,46,85.88
2021-05-01 1:45,46,85.857
2021-05-01 2:00,46,85.854
2021-05-01 2:15,46,85.881
2021-05-01 2:30,46,85.821
2021-05-01 2:45,46,85.876
2021-05-01 3:00,46,85.877
2021-05-01 3:15,46,85.826
2021-05-01 3:30,46,85.857
2021-05-01 3:45,46,85.864
2021-05-01 4:00,46,85.803
2021-05-01 4:15,46,85.864
2021-05-01 4:30,46,85.83
2021-05-01 4:45,46,85.84
2021-05-01 5:00,46,85.845
2021-05-01 5:15,46,85.832
2021-05-01 5:30,46,85.817
2021-05-01 5:45,46,85.84
2021-05-01 6:00,46,85.84
2021-05-01 6:15,46,85.838
2021-05-01 6:30,46,85.837
2021-05-01 6:45,46,85.814
2021-05-01 7:00,46,85.856
2021-05-01 7:15,46,85.818
2021-05-01 7:30,46,85.854
2021-05-01 7:45,46,85.847
2021-05-01 8:00,46,85.842
2021-05-01 8:15,46,85.819
2021-05-01 8:30,46,85.832
2021-05-01 8:45,46,85.813
2021-05-01 9:00,46,85.854
2021-05-01 9:15,46,85.831
2021-05-01 9:30,46,85.833
2021-05-01 9:45,46,85.841
2021-05-01 10:00,46,85.818
2021-05-01 10:15,46,85.833
2021-05-01 10:30,46,85.847
2021-05-01 10:45,46,85.831
2021-05-01 11:00,46,85.846
2021-05-01 11:15,46,85.837
2021-05-01 11:30,46,85.813
2021-05-01 11:45,46,85.834
2021-05-01 12:00,46,85.833
2021-05-01 12:15,46,85.824
2021-05-01 12:30,46,85.853
2021-05-01 12:45,46,85.823
2021-05-01 13:00,46,85.835
2021-05-01 13:15,46,85.832
2021-05-01 13:30,46,85.823
2021-05-01 13:45,46,85.844
2021-05-01 14:00,46,85.844
2021-05-01 14:15,46,85.818
2021-05-01 14:30,46,85.835
2021-05-01 14:45,46,85.835
2021-05-01 15:00,46,85.817
2021-05-01 15:15,46,85.849
2021-05-01 15:30,46,85.819
2021-05-01 15:45,46,85.842
2021-05-01 16:00,46,85.821
2021-05-01 16:15,46,85.832
2021-05-01 16:30,46,85.829
2021-05-01 16:45,46,85.846
2021-05-01 17:00,46,85.814
2021-05-01 17:15,46,85.84
2021-05-01 17:30,46,85.82
2021-05-01 17:45,46,85.822
2021-05-01 18:00,46,85.828
2021-05-01 18:15,46,85.831
2021-05-01 18:30,46,85.834
2021-05-01 18:45,46,85.821
2021-05-01 19:00,46,85.817
2021-05-01 19:15,46,85.821
2021-05-01 19:30,46,85.824
2021-05-01 19:45,46,85.813
2021-05-01 20:00,46,85.828
2021-05-01 20:15,46,85.805
2021-05-01 20:30,46,85.829
2021-05-01 20:45,46,85.806
2021-05-01 21:00,46,85.816
2021-05-01 21:15,46,85.82
2021-05-01 21:30,46,85.82
2021-05-01 21:45,46,85.824
2021-05-01 22:00,46,85.83
2021-05-01 22:15,46,85.803
2021-05-01 22:30,46,85.835
2021-05-01 22:45,46,85.838
2021-05-01 23:00,46,85.815
2021-05-01 23:15,46,85.825
2021-05-01 23:30,46,85.846
2021-05-01 23:45,46,85.811
2021-05-02 0:00,46,85.827
2021-05-02 0:15,46,85.817
2021-05-02 0:30,46,85.838
2021-05-02 0:45,46,85.831
2021-05-02 1:00,46,85.822
2021-05-02 1:15,46,85.823
2021-05-02 1:30,46,85.835
2021-05-02 1:45,46,85.806
2021-05-02 2:00,46,85.84
2021-05-02 2:15,46,85.835
2021-05-02 2:30,46,85.833
2021-05-02 2:45,46,85.827
2021-05-02 3:00,46,85.822
2021-05-02 3:15,46,85.824
2021-05-02 3:30,46,85.826
2021-05-02 3:45,46,85.833
2021-05-02 4:00,46,85.827
2021-05-02 4:15,46,85.838
2021-05-02 4:30,46,85.809
2021-05-02 4:45,46,85.83
2021-05-02 5:00,46,85.821
2021-05-02 5:15,46,85.831
2021-05-02 5:30,46,85.824
2021-05-02 5:45,46,85.844
2021-05-02 6:00,46,85.818
2021-05-02 6:15,46,85.831
2021-05-02 6:30,46,85.824
2021-05-02 6:45,46,85.837
2021-05-02 7:00,46,85.826
2021-05-02 7:15,46,85.836
2021-05-02 7:30,46,85.829
2021-05-02 7:45,46,85.824
2021-05-02 8:00,46,85.809
2021-05-02 8:15,46,85.834
2021-05-02 8:30,46,85.829
2021-05-02 8:45,46,85.824
2021-05-02 9:00,46,85.827
2021-05-02 9:15,46,85.816
2021-05-02 9:30,46,85.825
2021-05-02 9:45,46,85.829
2021-05-02 10:00,46,85.825
2021-05-02 10:15,46,85.819
2021-05-02 10:30,46,85.803
2021-05-02 10:45,46,85.805
2021-05-02 11:00,46,85.82
2021-05-02 11:15,46,85.805
2021-05-02 11:30,46,85.81
2021-05-02 11:45,46,85.816
2021-05-02 12:00,46,85.82
2021-05-02 12:15,46,85.804
2021-05-02 12:30,46,85.849
2021-05-02 12:45,46,85.818
2021-05-02 13:00,46,85.836
2021-05-02 13:15,46,85.812
2021-05-02 13:30,46,85.836
2021-05-02 13:45,46,85.823
2021-05-02 14:00,46,85.831
2021-05-02 14:15,46,85.816
2021-05-02 14:30,46,85.842
2021-05-02 14:45,46,85.805
2021-05-02 15:00,46,85.824
2021-05-02 15:15,46,85.829
2021-05-02 15:30,46,85.816
2021-05-02 15:45,46,85.82
2021-05-02 16:00,46,85.831
2021-05-02 16:15,46,85.819
2021-05-02 16:30,46,85.836
2021-05-02 16:45,46,85.838
2021-05-02 17:00,46,85.822
2021-05-02 17:15,46,85.849
2021-05-02 17:30,46,85.813
2021-05-02 17:45,46,85.834
2021-05-02 18:00,46,85.822
2021-05-02 18:15,46,85.844
2021-05-02 18:30,46,85.829
2021-05-02 18:45,46,85.849
2021-05-02 19:00,46,85.828
2021-05-02 19:15,46,85.85
2021-05-02 19:30,46,85.826
2021-05-02 19:45,46,85.855
2021-05-02 20:00,46,85.838
2021-05-02 20:15,46,85.844
2021-05-02 20:30,46,85.845
2021-05-02 20:45,46,85.849
2021-05-02 21:00,46,85.842
2021-05-02 21:15,46,85.852
2021-05-02 21:30,46,85.847
2021-05-02 21:45,46,85.844
2021-05-02 22:00,46,85.855
2021-05-02 22:15,46,85.842
2021-05-02 22:30,46,85.852
