Date (AST),Parameter ,Value (m)
2021-05-01 0:00,46,0.509
2021-05-01 0:15,46,0.507
2021-05-01 0:30,46,0.513
2021-05-01 0:45,46,0.506
2021-05-01 1:00,46,0.509
2021-05-01 1:15,46,0.51
2021-05-01 1:30,46,0.507
2021-05-01 1:45,46,0.509
2021-05-01 2:00,46,0.51
2021-05-01 2:15,46,0.514
2021-05-01 2:30,46,0.511
2021-05-01 2:45,46,0.519
2021-05-01 3:00,46,0.514
2021-05-01 3:15,46,0.517
2021-05-01 3:30,46,0.517
2021-05-01 3:45,46,0.516
2021-05-01 4:00,46,0.519
2021-05-01 4:15,46,0.518
2021-05-01 4:30,46,0.517
2021-05-01 4:45,46,0.517
2021-05-01 5:00,46,0.518
2021-05-01 5:15,46,0.519
2021-05-01 5:30,46,0.526
2021-05-01 5:45,46,0.523
2021-05-01 6:00,46,0.524
2021-05-01 6:15,46,0.522
2021-05-01 6:30,46,0.524
2021-05-01 6:45,46,0.528
2021-05-01 7:00,46,0.523
2021-05-01 7:15,46,0.527
2021-05-01 7:30,46,0.524
2021-05-01 7:45,46,0.525
2021-05-01 8:00,46,0.526
2021-05-01 8:15,46,0.525
2021-05-01 8:30,46,0.529
2021-05-01 8:45,46,0.533
2021-05-01 9:00,46,0.534
2021-05-01 9:15,46,0.531
2021-05-01 9:30,46,0.53
2021-05-01 9:45,46,0.533
2021-05-01 10:00,46,0.533
2021-05-01 10:15,46,0.534
2021-05-01 10:30,46,0.532
2021-05-01 10:45,46,0.525
2021-05-01 11:00,46,0.533
2021-05-01 11:15,46,0.543
2021-05-01 11:30,46,0.542
2021-05-01 11:45,46,0.536
2021-05-01 12:00,46,0.538
2021-05-01 12:15,46,0.537
2021-05-01 12:30,46,0.538
2021-05-01 12:45,46,0.536
2021-05-01 13:00,46,0.536
2021-05-01 13:15,46,0.541
2021-05-01 13:30,46,0.537
2021-05-01 13:45,46,0.535
2021-05-01 14:00,46,0.538
2021-05-01 14:15,46,0.542
2021-05-01 14:30,46,0.544
2021-05-01 14:45,46,0.542
2021-05-01 15:00,46,0.538
2021-05-01 15:15,46,0.545
2021-05-01 15:30,46,0.538
2021-05-01 15:45,46,0.541
2021-05-01 16:00,46,0.547
2021-05-01 16:15,46,0.548
2021-05-01 16:30,46,0.547
2021-05-01 16:45,46,0.543
2021-05-01 17:00,46,0.544
2021-05-01 17:15,46,0.542
2021-05-01 17:30,46,0.541
2021-05-01 17:45,46,0.546
2021-05-01 18:00,46,0.55
2021-05-01 18:15,46,0.552
2021-05-01 18:30,46,0.545
2021-05-01 18:45,46,0.545
2021-05-01 19:00,46,0.545
2021-05-01 19:15,46,0.549
2021-05-01 19:30,46,0.547
2021-05-01 19:45,46,0.548
2021-05-01 20:00,46,0.547
2021-05-01 20:15,46,0.547
2021-05-01 20:30,46,0.546
2021-05-01 20:45,46,0.547
2021-05-01 21:00,46,0.548
2021-05-01 21:15,46,0.549
2021-05-01 21:30,46,0.55
2021-05-01 21:45,46,0.549
2021-05-01 22:00,46,0.549
2021-05-01 22:15,46,0.551
2021-05-01 22:30,46,0.553
2021-05-01 22:45,46,0.55
2021-05-01 23:00,46,0.55
2021-05-01 23:15,46,0.55
2021-05-01 23:30,46,0.55
2021-05-01 23:45,46,0.551
2021-05-02 0:00,46,0.55
2021-05-02 0:15,46,0.551
2021-05-02 0:30,46,0.55
2021-05-02 0:45,46,0.55
2021-05-02 1:00,46,0.551
2021-05-02 1:15,46,0.55
2021-05-02 1:30,46,0.552
2021-05-02 1:45,46,0.551
2021-05-02 2:00,46,0.552
2021-05-02 2:15,46,0.552
2021-05-02 2:30,46,0.552
2021-05-02 2:45,46,0.552
2021-05-02 3:00,46,0.552
2021-05-02 3:15,46,0.553
2021-05-02 3:30,46,0.553
2021-05-02 3:45,46,0.551
2021-05-02 4:00,46,0.553
2021-05-02 4:15,46,0.552
2021-05-02 4:30,46,0.552
2021-05-02 4:45,46,0.552
2021-05-02 5:00,46,0.553
2021-05-02 5:15,46,0.554
2021-05-02 5:30,46,0.553
2021-05-02 5:45,46,0.553
2021-05-02 6:00,46,0.554
2021-05-02 6:15,46,0.555
2021-05-02 6:30,46,0.554
2021-05-02 6:45,46,0.554
2021-05-02 7:00,46,0.555
2021-05-02 7:15,46,0.553
2021-05-02 7:30,46,0.553
2021-05-02 7:45,46,0.554
2021-05-02 8:00,46,0.554
2021-05-02 8:15,46,0.553
2021-05-02 8:30,46,0.553
2021-05-02 8:45,46,0.554
2021-05-02 9:00,46,0.555
2021-05-02 9:15,46,0.554
2021-05-02 9:30,46,0.556
2021-05-02 9:45,46,0.557
2021-05-02 10:00,46,0.555
2021-05-02 10:15,46,0.555
2021-05-02 10:30,46,0.553
2021-05-02 10:45,46,0.556
2021-05-02 11:00,46,0.554
2021-05-02 11:15,46,0.554
2021-05-02 11:30,46,0.553
2021-05-02 11:45,46,0.556
2021-05-02 12:00,46,0.558
2021-05-02 12:15,46,0.556
2021-05-02 12:30,46,0.555
2021-05-02 12:45,46,0.551
2021-05-02 13:00,46,0.555
2021-05-02 13:15,46,0.551
2021-05-02 13:30,46,0.551
2021-05-02 13:45,46,0.556
2021-05-02 14:00,46,0.553
2021-05-02 14:15,46,0.552
2021-05-02 14:30,46,0.554
2021-05-02 14:45,46,0.557
2021-05-02 15:00,46,0.556
2021-05-02 15:15,46,0.555
2021-05-02 15:30,46,0.552
2021-05-02 15:45,46,0.554
2021-05-02 16:00,46,0.553
2021-05-02 16:15,46,0.552
2021-05-02 16:30,46,0.552
2021-05-02 16:45,46,0.553
2021-05-02 17:00,46,0.555
2021-05-02 17:15,46,0.553
2021-05-02 17:30,46,0.554
2021-05-02 17:45,46,0.553
2021-05-02 18:00,46,0.554
2021-05-02 18:15,46,0.553
2021-05-02 18:30,46,0.554
2021-05-02 18:45,46,0.553
2021-05-02 19:00,46,0.553
2021-05-02 19:15,46,0.552
2021-05-02 19:30,46,0.553
2021-05-02 19:45,46,0.554
2021-05-02 20:00,46,0.553
2021-05-02 20:15,46,0.552
2021-05-02 20:30,46,0.552
2021-05-02 20:45,46,0.552
2021-05-02 21:00,46,0.551
2021-05-02 21:15,46,0.552
2021-05-02 21:30,46,0.551
2021-05-02 21:45,46,0.551
2021-05-02 22:00,46,0.551
2021-05-02 22:15,46,0.552
2021-05-02 22:30,46,0.55
2021-05-02 22:45,46,0.551
2021-05-02 23:00,46,0.549
2021-05-02 23:15,46,0.549
2021-05-02 23:30,46,0.55
2021-05-02 23:45,46,0.551
2021-05-03 0:00,46,0.549
2021-05-03 0:15,46,0.549
2021-05-03 0:30,46,0.548
2021-05-03 0:45,46,0.547
2021-05-03 1:00,46,0.55
2021-05-03 1:15,46,0.548
2021-05-03 1:30,46,0.55
2021-05-03 1:45,46,0.548
2021-05-03 2:00,46,0.548
2021-05-03 2:15,46,0.546
2021-05-03 2:30,46,0.548
2021-05-03 2:45,46,0.548
2021-05-03 3:00,46,0.546
2021-05-03 3:15,46,0.547
2021-05-03 3:30,46,0.547
2021-05-03 3:45,46,0.549
2021-05-03 4:00,46,0.548
2021-05-03 4:15,46,0.546
2021-05-03 4:30,46,0.543
2021-05-03 4:45,46,0.542
2021-05-03 5:00,46,0.546
2021-05-03 5:15,46,0.552
2021-05-03 5:30,46,0.546
2021-05-03 5:45,46,0.545
2021-05-03 6:00,46,0.545
2021-05-03 6:15,46,0.545
2021-05-03 6:30,46,0.54
2021-05-03 6:45,46,0.542
2021-05-03 7:00,46,0.546
2021-05-03 7:15,46,0.545
2021-05-03 7:30,46,0.545
2021-05-03 7:45,46,0.547
2021-05-03 8:00,46,0.544
2021-05-03 8:15,46,0.544
2021-05-03 8:30,46,0.542
2021-05-03 8:45,46,0.542
2021-05-03 9:00,46,0.539
2021-05-03 9:15,46,0.538
2021-05-03 9:30,46,0.543
2021-05-03 9:45,46,0.543
2021-05-03 10:00,46,0.543
2021-05-03 10:15,46,0.542
2021-05-03 10:30,46,0.543
2021-05-03 10:45,46,0.543
2021-05-03 11:00,46,0.539
2021-05-03 11:15,46,0.539
2021-05-03 11:30,46,0.538
2021-05-03 11:45,46,0.538
2021-05-03 12:00,46,0.539
2021-05-03 12:15,46,0.54
2021-05-03 12:30,46,0.536
2021-05-03 12:45,46,0.542
2021-05-03 13:00,46,0.548
2021-05-03 13:15,46,0.535
2021-05-03 13:30,46,0.542
2021-05-03 13:45,46,0.541
2021-05-03 14:00,46,0.535
2021-05-03 14:15,46,0.533
2021-05-03 14:30,46,0.535
2021-05-03 14:45,46,0.54
2021-05-03 15:00,46,0.532
2021-05-03 15:15,46,0.537
2021-05-03 15:30,46,0.533
2021-05-03 15:45,46,0.539
2021-05-03 16:00,46,0.537
2021-05-03 16:15,46,0.532
2021-05-03 16:30,46,0.529
2021-05-03 16:45,46,0.531
2021-05-03 17:00,46,0.533
2021-05-03 17:15,46,0.535
2021-05-03 17:30,46,0.53
2021-05-03 17:45,46,0.528
2021-05-03 18:00,46,0.531
2021-05-03 18:15,46,0.532
2021-05-03 18:30,46,0.53
2021-05-03 18:45,46,0.531
2021-05-03 19:00,46,0.528
2021-05-03 19:15,46,0.527
2021-05-03 19:30,46,0.528
2021-05-03 19:45,46,0.528
2021-05-03 20:00,46,0.528
2021-05-03 20:15,46,0.527
2021-05-03 20:30,46,0.527
2021-05-03 20:45,46,0.526
2021-05-03 21:00,46,0.526
2021-05-03 21:15,46,0.525
2021-05-03 21:30,46,0.525
2021-05-03 21:45,46,0.526
2021-05-03 22:00,46,0.525
2021-05-03 22:15,46,0.525
2021-05-03 22:30,46,0.523
2021-05-03 22:45,46,0.524
2021-05-03 23:00,46,0.523
2021-05-03 23:15,46,0.523
2021-05-03 23:30,46,0.523
2021-05-03 23:45,46,0.523
2021-05-04 0:00,46,0.522
2021-05-04 0:15,46,0.522
2021-05-04 0:30,46,0.521
2021-05-04 0:45,46,0.521
2021-05-04 1:00,46,0.52
2021-05-04 1:15,46,0.519
2021-05-04 1:30,46,0.52
2021-05-04 1:45,46,0.52
2021-05-04 2:00,46,0.519
2021-05-04 2:15,46,0.519
2021-05-04 2:30,46,0.517
2021-05-04 2:45,46,0.518
2021-05-04 3:00,46,0.518
2021-05-04 3:15,46,0.518
2021-05-04 3:30,46,0.517
2021-05-04 3:45,46,0.517
2021-05-04 4:00,46,0.517
2021-05-04 4:15,46,0.516
2021-05-04 4:30,46,0.515
2021-05-04 4:45,46,0.515
2021-05-04 5:00,46,0.514
2021-05-04 5:15,46,0.514
2021-05-04 5:30,46,0.514
2021-05-04 5:45,46,0.513
2021-05-04 6:00,46,0.513
2021-05-04 6:15,46,0.513
2021-05-04 6:30,46,0.512
2021-05-04 6:45,46,0.512
2021-05-04 7:00,46,0.512
2021-05-04 7:15,46,0.512
2021-05-04 7:30,46,0.511
2021-05-04 7:45,46,0.512
2021-05-04 8:00,46,0.511
2021-05-04 8:15,46,0.511
2021-05-04 8:30,46,0.511
2021-05-04 8:45,46,0.51
2021-05-04 9:00,46,0.51
2021-05-04 9:15,46,0.51
2021-05-04 9:30,46,0.509
2021-05-04 9:45,46,0.509
2021-05-04 10:00,46,0.509
2021-05-04 10:15,46,0.509
2021-05-04 10:30,46,0.509
2021-05-04 10:45,46,0.509
2021-05-04 11:00,46,0.509
2021-05-04 11:15,46,0.509
2021-05-04 11:30,46,0.508
2021-05-04 11:45,46,0.507
2021-05-04 12:00,46,0.508
2021-05-04 12:15,46,0.508
2021-05-04 12:30,46,0.507
2021-05-04 12:45,46,0.506
2021-05-04 13:00,46,0.506
2021-05-04 13:15,46,0.507
2021-05-04 13:30,46,0.505
2021-05-04 13:45,46,0.505
2021-05-04 14:00,46,0.506
2021-05-04 14:15,46,0.505
2021-05-04 14:30,46,0.505
2021-05-04 14:45,46,0.505
2021-05-04 15:00,46,0.503
2021-05-04 15:15,46,0.505
2021-05-04 15:30,46,0.504
2021-05-04 15:45,46,0.505
2021-05-04 16:00,46,0.502
2021-05-04 16:15,46,0.505
2021-05-04 16:30,46,0.503
2021-05-04 16:45,46,0.502
2021-05-04 17:00,46,0.502
2021-05-04 17:15,46,0.502
2021-05-04 17:30,46,0.501
2021-05-04 17:45,46,0.5
2021-05-04 18:00,46,0.5
2021-05-04 18:15,46,0.499
2021-05-04 18:30,46,0.499
2021-05-04 18:45,46,0.498
2021-05-04 19:00,46,0.498
2021-05-04 19:15,46,0.498
2021-05-04 19:30,46,0.498
2021-05-04 19:45,46,0.498
2021-05-04 20:00,46,0.498
2021-05-04 20:15,46,0.498
2021-05-04 20:30,46,0.497
2021-05-04 20:45,46,0.498
2021-05-04 21:00,46,0.496
2021-05-04 21:15,46,0.495
2021-05-04 21:30,46,0.497
2021-05-04 21:45,46,0.494
2021-05-04 22:00,46,0.493
2021-05-04 22:15,46,0.494
2021-05-04 22:30,46,0.494
2021-05-04 22:45,46,0.494
2021-05-04 23:00,46,0.494
2021-05-04 23:15,46,0.493
2021-05-04 23:30,46,0.492
2021-05-04 23:45,46,0.492
2021-05-05 0:00,46,0.491
2021-05-05 0:15,46,0.491
2021-05-05 0:30,46,0.491
2021-05-05 0:45,46,0.491
2021-05-05 1:00,46,0.49
2021-05-05 1:15,46,0.49
2021-05-05 1:30,46,0.49
2021-05-05 1:45,46,0.49
2021-05-05 2:00,46,0.489
2021-05-05 2:15,46,0.489
